Nested Sampling Global Log-Evidence           :    0.208555065219940980E+04  +/-    0.136972400118240439E+00

Dim No.       Mean        Sigma
   1    0.139093961776298652E+00    0.175408096183313618E-03
   2    0.302822255392254931E+03    0.327769729181932661E+02
   3   -0.317431979081567617E+01    0.259425185155132798E+01
   4   -0.652034713251440134E+01    0.302144085729177858E+01
   5   -0.810336621001044399E+01    0.223041255722291876E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139171023063770688E+00
   2    0.304489516887088598E+03
   3   -0.128095182626415927E+01
   4   -0.305295337738052908E+01
   5   -0.105391590872097343E+02

MAP Parameters
Dim No.        Parameter
   1    0.139171023063770688E+00
   2    0.304489516887088598E+03
   3   -0.128095182626415927E+01
   4   -0.305295337738052908E+01
   5   -0.105391590872097343E+02
