Nested Sampling Global Log-Evidence           :    0.200678590192054799E+04  +/-    0.122420414532189700E+00

Dim No.       Mean        Sigma
   1    0.139066090092137301E+00    0.898357476894675732E-04
   2    0.216915374435467214E+03    0.635622678771981100E+02
   3   -0.653097163666149694E+01    0.315567321968695591E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139076908788659276E+00
   2    0.214782839715805352E+03
   3   -0.406254806929816770E+01

MAP Parameters
Dim No.        Parameter
   1    0.139055197820612320E+00
   2    0.123132207968719655E+03
   3   -0.115578192129708590E+02
