Nested Sampling Global Log-Evidence           :    0.201207084386570364E+04  +/-    0.124840550066060360E+00

Dim No.       Mean        Sigma
   1    0.139143145808004159E+00    0.176318487157265470E-03
   2    0.387791426120939548E+03    0.734992657662802316E+02
   3   -0.469790521850890652E+01    0.295941589836706465E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139046769949532856E+00
   2    0.424058573480055031E+03
   3   -0.232022892845204254E+01

MAP Parameters
Dim No.        Parameter
   1    0.139046769949532856E+00
   2    0.424058573480055031E+03
   3   -0.232022892845204254E+01
