Nested Sampling Global Log-Evidence           :    0.205570261007687714E+04  +/-    0.132372466916278603E+00

Dim No.       Mean        Sigma
   1    0.139382347772664672E+00    0.143830352703074575E-03
   2    0.256673115073995461E+03    0.640429490183354488E+02
   3   -0.426838774092870654E+01    0.318029398190032930E+01
   4   -0.445525879379140299E+01    0.291989270990357497E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139281549253324088E+00
   2    0.288860967256579556E+03
   3   -0.112950917905564729E+01
   4   -0.301078455632110931E+01

MAP Parameters
Dim No.        Parameter
   1    0.139281549253324088E+00
   2    0.288860967256579556E+03
   3   -0.112950917905564729E+01
   4   -0.301078455632110931E+01
