Nested Sampling Global Log-Evidence           :    0.206890034596630403E+04  +/-    0.131010819781624627E+00

Dim No.       Mean        Sigma
   1    0.139067497394572054E+00    0.732838888080691864E-04
   2    0.390831825686567754E+03    0.421646509576272166E+02
   3   -0.648967101916136890E+01    0.315631017641018552E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139070302644971361E+00
   2    0.386889913019334358E+03
   3   -0.126202568023519568E+01

MAP Parameters
Dim No.        Parameter
   1    0.139058200751479150E+00
   2    0.347238457986434014E+03
   3   -0.114973206138838808E+02
