Nested Sampling Global Log-Evidence           :    0.206836456022101947E+04  +/-    0.135062806575228372E+00

Dim No.       Mean        Sigma
   1    0.139036185207784047E+00    0.835372309333205857E-04
   2    0.401995607665510363E+03    0.423946913231331308E+02
   3   -0.860716933445200461E+01    0.211646853457317086E+01
   4   -0.834310212048342059E+01    0.204644356268820937E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139055592135268635E+00
   2    0.402330433192559042E+03
   3   -0.119484452635159126E+02
   4   -0.704940338481522932E+01

MAP Parameters
Dim No.        Parameter
   1    0.139055592135268635E+00
   2    0.402330433192559042E+03
   3   -0.119484452635159126E+02
   4   -0.704940338481522932E+01
