Nested Sampling Global Log-Evidence           :    0.207366861774596146E+04  +/-    0.134969816480977611E+00

Dim No.       Mean        Sigma
   1    0.139167766404635712E+00    0.954559640532124499E-04
   2    0.131663751127974848E+03    0.226024785668346766E+02
   3   -0.666721603092477810E+01    0.321407390749273292E+01
   4   -0.634339998962289897E+01    0.315597983783313563E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139211216391242260E+00
   2    0.116729744020270758E+03
   3   -0.118606272575707603E+02
   4   -0.428724682059786399E+01

MAP Parameters
Dim No.        Parameter
   1    0.139307413518810791E+00
   2    0.108633402680159691E+03
   3   -0.736691182537785316E+01
   4   -0.429061263716743113E+01
