Nested Sampling Global Log-Evidence           :    0.207356576661711870E+04  +/-    0.133317500767183045E+00

Dim No.       Mean        Sigma
   1    0.139181658592868074E+00    0.130974130995425183E-03
   2    0.293522316544717512E+03    0.648349158728614441E+02
   3   -0.279433009497919116E+01    0.195818780407204418E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139063679923121131E+00
   2    0.308015121575740579E+03
   3   -0.100914228762480818E+01

MAP Parameters
Dim No.        Parameter
   1    0.139063679923121131E+00
   2    0.308015121575740579E+03
   3   -0.100914228762480818E+01
