Nested Sampling Global Log-Evidence           :    0.207359541540066402E+04  +/-    0.136353068324796461E+00

Dim No.       Mean        Sigma
   1    0.139160168709830195E+00    0.978514828150455482E-04
   2    0.133905789176604515E+03    0.237151971241972284E+02
   3   -0.683677624880727564E+01    0.310212565194125478E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139215546239651322E+00
   2    0.109950245873588997E+03
   3   -0.111088418316250426E+01

MAP Parameters
Dim No.        Parameter
   1    0.139061494970861455E+00
   2    0.159424083991286267E+03
   3   -0.987893630445940829E+01
