Nested Sampling Global Log-Evidence           :    0.207114300679509779E+04  +/-    0.132523827447813047E+00

Dim No.       Mean        Sigma
   1    0.139311669057010146E+00    0.641218774126404458E-04
   2    0.275402442939449031E+03    0.476532517644083597E+02
   3   -0.620316074453310762E+01    0.306779950773496335E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.139331712102470417E+00
   2    0.255012543844669494E+03
   3   -0.571605122084870754E+01

MAP Parameters
Dim No.        Parameter
   1    0.139422925423367594E+00
   2    0.209800203247076610E+03
   3   -0.100092420449254647E+02
